schedule_id,departure_station,arrival_station,train_operator,connection_id,departure_time,arrival_time,service_days_bitmap,legs
79,Station G,Station J,CityLink,conn_79,01:18 AM,05:08 AM,32,
80,Station F,Station E,TrainCo,conn_80,02:41 PM,05:34 PM,8,
81,Station C,Station A,ExpressLine,conn_81,01:11 AM,07:15 AM,64,
82,Station H,Station E,FastTrack,conn_82,02:41 PM,08:30 PM,16,
83,Station B,Station G,FastTrack,conn_83,12:30 AM,05:36 AM,64,
84,Station E,Station H,ExpressLine,conn_84,09:16 PM,01:04 AM,16,
85,Station D,Station I,ExpressLine,conn_85,05:19 PM,11:57 PM,1,
86,Station A,Station B,ExpressLine,conn_86,09:52 AM,01:40 PM,64,
87,Station A,Station D,ExpressLine,conn_87,03:20 AM,07:08 AM,16,
88,Station C,Station J,FastTrack,conn_88,06:44 AM,11:37 AM,1,
89,Station C,Station J,SuperRail,conn_89,10:37 PM,01:34 AM,1,
90,Station G,Station E,ExpressLine,conn_90,08:57 AM,01:21 PM,4,
91,Station J,Station E,FastTrack,conn_91,08:35 AM,03:29 PM,8,
92,Station G,Station C,FastTrack,conn_92,07:31 AM,01:00 PM,16,
93,Station B,Station G,ExpressLine,conn_93,05:57 AM,11:27 AM,16,
94,Station J,Station G,TrainCo,conn_94,12:24 AM,07:07 AM,8,
95,Station E,Station G,SuperRail,conn_95,10:14 PM,02:14 AM,2,
96,Station J,Station C,TrainCo,conn_96,04:24 PM,09:32 PM,8,
97,Station B,Station F,TrainCo,conn_97,11:41 AM,01:47 PM,1,
98,Station C,Station E,ExpressLine,conn_98,09:46 PM,01:41 AM,4,
99,Station B,Station J,SuperRail,conn_99,10:06 AM,12:39 PM,2,
100,Station F,Station I,CityLink,conn_100,05:51 AM,11:57 AM,8,
101,Station B,Station I,ExpressLine,conn_101,04:33 AM,10:59 AM,32,
102,Station A,Station B,SuperRail,conn_102,02:47 PM,08:51 PM,32,
103,Station D,Station G,ExpressLine,conn_103,04:07 PM,06:25 PM,16,
104,Station B,Station H,ExpressLine,conn_104,08:24 AM,12:35 PM,64,
105,Station A,Station I,ExpressLine,conn_105,03:42 PM,09:07 PM,1,
106,Station E,Station F,SuperRail,conn_106,02:39 PM,07:11 PM,1,
107,Station D,Station F,FastTrack,conn_107,09:21 AM,02:46 PM,2,
108,Station F,Station I,FastTrack,conn_108,09:04 AM,02:56 PM,1,
109,Station I,Station F,SuperRail,conn_109,07:50 PM,12:16 AM,2,
110,Station B,Station I,SuperRail,conn_110,09:55 AM,02:18 PM,4,
111,Station D,Station G,SuperRail,conn_111,01:00 PM,07:39 PM,4,
112,Station B,Station J,CityLink,conn_112,04:37 AM,08:25 AM,8,
113,Station I,Station G,TrainCo,conn_113,04:08 PM,10:29 PM,16,
114,Station J,Station H,CityLink,conn_114,05:12 PM,10:55 PM,32,
115,Station H,Station A,SuperRail,conn_115,06:20 AM,09:33 AM,1,
116,Station F,Station J,ExpressLine,conn_116,10:05 AM,02:25 PM,2,
117,Station J,Station G,SuperRail,conn_117,11:10 AM,01:39 PM,8,
118,Station H,Station F,TrainCo,conn_118,09:07 AM,12:20 PM,4,
119,Station A,Station E,TrainCo,conn_119,03:27 AM,07:10 AM,64,
120,Station F,Station I,CityLink,conn_120,04:15 PM,10:39 PM,64,
121,Station C,Station G,TrainCo,conn_121,10:00 AM,12:21 PM,32,
122,Station B,Station G,FastTrack,conn_122,09:52 PM,01:44 AM,32,
123,Station J,Station E,SuperRail,conn_123,12:13 AM,05:15 AM,16,
124,Station B,Station A,SuperRail,conn_124,04:07 PM,07:51 PM,2,
125,Station C,Station J,ExpressLine,conn_125,02:07 AM,04:25 AM,32,
126,Station I,Station E,SuperRail,conn_126,09:38 AM,02:17 PM,64,
127,Station J,Station H,CityLink,conn_127,02:43 PM,04:47 PM,8,
128,Station J,Station B,SuperRail,conn_128,06:55 PM,12:33 AM,16,
129,Station D,Station H,SuperRail,conn_129,08:32 PM,01:12 AM,1,
130,Station B,Station I,ExpressLine,conn_130,01:03 AM,03:31 AM,2,
131,Station B,Station D,TrainCo,conn_131,06:29 PM,12:32 AM,64,
132,Station I,Station G,ExpressLine,conn_132,05:50 PM,09:09 PM,64,
133,Station A,Station F,CityLink,conn_133,12:11 AM,06:08 AM,16,
134,Station J,Station H,CityLink,conn_134,10:21 AM,02:25 PM,2,
135,Station E,Station G,TrainCo,conn_135,09:52 AM,02:48 PM,8,
136,Station D,Station F,TrainCo,conn_136,05:07 AM,11:45 AM,16,
137,Station H,Station G,FastTrack,conn_137,02:56 PM,05:53 PM,8,
138,Station J,Station D,SuperRail,conn_138,09:10 PM,01:56 AM,32,
139,Station C,Station J,SuperRail,conn_139,05:29 AM,09:44 AM,1,
140,Station A,Station D,CityLink,conn_140,03:25 PM,07:54 PM,2,
141,Station A,Station F,ExpressLine,conn_141,07:03 PM,09:54 PM,2,
142,Station F,Station E,CityLink,conn_142,10:58 PM,02:51 AM,8,
143,Station G,Station I,FastTrack,conn_143,09:14 AM,12:16 PM,1,
144,Station H,Station C,ExpressLine,conn_144,01:24 PM,07:50 PM,16,
145,Station F,Station I,SuperRail,conn_145,12:06 PM,06:39 PM,1,
146,Station B,Station A,ExpressLine,conn_146,07:02 AM,10:51 AM,4,
147,Station H,Station J,TrainCo,conn_147,10:39 AM,03:37 PM,32,
148,Station E,Station A,SuperRail,conn_148,08:30 AM,11:07 AM,2,
149,Station F,Station J,CityLink,conn_149,07:42 AM,11:51 AM,4,
150,Station B,Station C,SuperRail,conn_150,06:04 PM,10:45 PM,64,
151,Station A,Station I,FastTrack,conn_151,08:42 PM,01:23 AM,1,
152,Station C,Station F,ExpressLine,conn_152,08:03 PM,11:53 PM,32,
153,Station B,Station D,FastTrack,conn_153,08:16 PM,02:35 AM,2,
154,Station C,Station F,CityLink,conn_154,12:55 PM,06:45 PM,64,
155,Station I,Station B,SuperRail,conn_155,10:08 PM,12:20 AM,1,
156,Station I,Station J,TrainCo,conn_156,04:04 PM,10:34 PM,2,
157,Station B,Station H,CityLink,conn_157,02:20 AM,05:22 AM,8,
158,Station I,Station G,TrainCo,conn_158,08:40 PM,01:19 AM,64,
159,Station B,Station E,CityLink,conn_159,10:52 AM,12:54 PM,4,
160,Station I,Station C,ExpressLine,conn_160,07:27 PM,12:33 AM,16,
161,Station A,Station F,CityLink,conn_161,12:16 AM,03:57 AM,4,
162,Station E,Station C,TrainCo,conn_162,03:41 AM,07:50 AM,2,
163,Station A,Station H,ExpressLine,conn_163,03:47 AM,06:40 AM,4,
164,Station G,Station E,FastTrack,conn_164,03:42 AM,08:30 AM,16,
165,Station G,Station F,ExpressLine,conn_165,04:35 PM,09:40 PM,2,
166,Station D,Station J,CityLink,conn_166,05:11 AM,08:05 AM,1,
167,Station E,Station G,CityLink,conn_167,02:10 PM,05:05 PM,32,
168,Station B,Station F,SuperRail,conn_168,05:36 PM,11:29 PM,32,
169,Station B,Station I,ExpressLine,conn_169,12:54 PM,06:06 PM,16,
170,Station H,Station E,TrainCo,conn_170,08:48 PM,12:23 AM,8,
171,Station A,Station J,SuperRail,conn_171,10:37 AM,05:16 PM,64,
172,Station D,Station C,SuperRail,conn_172,03:07 PM,07:32 PM,16,
173,Station B,Station G,SuperRail,conn_173,05:39 PM,07:50 PM,16,
174,Station E,Station F,CityLink,conn_174,04:24 PM,07:42 PM,8,
175,Station J,Station C,SuperRail,conn_175,03:45 PM,09:41 PM,64,
176,Station A,Station G,SuperRail,conn_176,10:26 PM,03:11 AM,2,
177,Station I,Station G,ExpressLine,conn_177,04:10 AM,09:35 AM,64,
178,Station G,Station D,TrainCo,conn_178,11:11 PM,02:40 AM,32,
179,Station F,Station H,ExpressLine,conn_179,10:02 PM,12:31 AM,64,
180,Station J,Station I,TrainCo,conn_180,07:53 AM,01:58 PM,16,
181,Station C,Station A,FastTrack,conn_181,01:35 PM,08:23 PM,8,
182,Station A,Station I,TrainCo,conn_182,08:02 PM,11:54 PM,64,
183,Station H,Station F,TrainCo,conn_183,01:59 AM,08:40 AM,2,
184,Station F,Station J,TrainCo,conn_184,03:07 PM,07:21 PM,4,
185,Station C,Station E,FastTrack,conn_185,02:46 PM,05:38 PM,2,
186,Station I,Station E,FastTrack,conn_186,03:08 AM,09:14 AM,4,
187,Station E,Station C,CityLink,conn_187,05:50 PM,09:05 PM,32,
188,Station D,Station H,FastTrack,conn_188,04:34 AM,07:38 AM,2,
189,Station D,Station G,SuperRail,conn_189,12:49 AM,05:34 AM,16,
190,Station G,Station E,ExpressLine,conn_190,07:22 PM,01:04 AM,16,
191,Station I,Station E,ExpressLine,conn_191,10:55 PM,04:36 AM,4,
192,Station C,Station G,FastTrack,conn_192,07:48 AM,02:01 PM,32,
193,Station D,Station E,ExpressLine,conn_193,03:14 PM,08:33 PM,64,
194,Station J,Station I,CityLink,conn_194,04:11 PM,08:50 PM,16,
195,Station H,Station B,ExpressLine,conn_195,09:17 AM,02:07 PM,64,
196,Station C,Station J,TrainCo,conn_196,09:56 PM,12:22 AM,64,
197,Station D,Station C,CityLink,conn_197,08:57 AM,11:06 AM,4,
198,Station G,Station I,TrainCo,conn_198,06:06 AM,08:11 AM,8,
199,Station B,Station D,ExpressLine,conn_199,07:50 AM,11:22 AM,2,
200,Station C,Station H,ExpressLine,conn_200,01:57 PM,06:34 PM,4,
201,Station G,Station J,CityLink,conn_201,03:31 AM,07:24 AM,16,
202,Station B,Station H,SuperRail,conn_202,03:03 PM,08:12 PM,8,
203,Station J,Station F,ExpressLine,conn_203,09:10 AM,12:22 PM,2,
204,Station J,Station C,TrainCo,conn_204,09:56 PM,12:25 AM,16,
205,Station B,Station A,ExpressLine,conn_205,04:19 PM,10:12 PM,2,
206,Station I,Station H,CityLink,conn_206,12:06 PM,06:22 PM,8,
207,Station H,Station D,CityLink,conn_207,05:15 AM,08:56 AM,4,
208,Station D,Station I,ExpressLine,conn_208,04:18 PM,07:10 PM,4,
209,Station E,Station F,ExpressLine,conn_209,05:46 PM,10:59 PM,64,
210,Station B,Station F,CityLink,conn_210,11:04 PM,05:50 AM,4,
211,Station I,Station C,SuperRail,conn_211,12:17 AM,03:26 AM,8,
212,Station C,Station B,TrainCo,conn_212,06:08 AM,12:13 PM,64,
213,Station B,Station I,FastTrack,conn_213,06:31 PM,10:24 PM,64,
214,Station B,Station A,TrainCo,conn_214,03:28 PM,10:22 PM,64,
215,Station C,Station J,TrainCo,conn_215,07:47 PM,10:03 PM,8,
216,Station B,Station F,FastTrack,conn_216,02:10 PM,08:58 PM,8,
217,Station F,Station C,CityLink,conn_217,10:46 PM,12:57 AM,1,
218,Station B,Station E,SuperRail,conn_218,03:49 AM,09:32 AM,32,
219,Station I,Station A,ExpressLine,conn_219,01:35 PM,07:03 PM,4,
220,Station C,Station B,CityLink,conn_220,09:56 AM,02:23 PM,16,
221,Station A,Station B,TrainCo,conn_221,02:28 PM,06:37 PM,1,
222,Station C,Station A,SuperRail,conn_222,04:21 PM,07:30 PM,4,
223,Station F,Station B,CityLink,conn_223,12:14 AM,06:30 AM,8,
224,Station F,Station I,FastTrack,conn_224,07:17 PM,01:19 AM,64,
225,Station C,Station G,FastTrack,conn_225,10:22 AM,04:47 PM,1,
226,Station E,Station C,FastTrack,conn_226,05:02 AM,11:34 AM,64,
227,Station E,Station F,TrainCo,conn_227,02:14 AM,05:50 AM,2,
228,Station B,Station I,ExpressLine,conn_228,04:30 AM,10:52 AM,8,
229,Station G,Station F,CityLink,conn_229,02:42 AM,08:01 AM,32,
230,Station J,Station E,TrainCo,conn_230,09:21 AM,12:10 PM,16,
231,Station H,Station C,TrainCo,conn_231,06:32 PM,12:40 AM,8,
232,Station H,Station B,SuperRail,conn_232,04:11 PM,07:06 PM,8,
233,Station H,Station I,CityLink,conn_233,02:47 PM,07:47 PM,4,
234,Station H,Station J,TrainCo,conn_234,10:21 AM,02:54 PM,16,
235,Station B,Station A,TrainCo,conn_235,06:40 AM,01:27 PM,1,
236,Station C,Station J,CityLink,conn_236,07:39 AM,01:28 PM,1,
237,Station A,Station F,CityLink,conn_237,11:17 AM,03:17 PM,8,
238,Station C,Station J,FastTrack,conn_238,09:23 PM,12:23 AM,8,
239,Station F,Station D,FastTrack,conn_239,07:36 AM,01:25 PM,1,
240,Station I,Station F,SuperRail,conn_240,02:32 PM,09:12 PM,64,
241,Station C,Station G,FastTrack,conn_241,05:11 AM,11:50 AM,4,
242,Station I,Station F,ExpressLine,conn_242,01:58 AM,05:41 AM,2,
243,Station I,Station A,CityLink,conn_243,10:47 AM,05:36 PM,32,
244,Station E,Station G,CityLink,conn_244,10:32 AM,03:23 PM,8,
245,Station A,Station D,SuperRail,conn_245,06:39 PM,10:03 PM,16,
246,Station F,Station J,TrainCo,conn_246,04:43 AM,11:41 AM,4,
247,Station H,Station G,TrainCo,conn_247,06:30 AM,08:36 AM,2,
248,Station H,Station C,ExpressLine,conn_248,01:08 AM,04:49 AM,1,
249,Station E,Station J,FastTrack,conn_249,04:02 PM,10:58 PM,32,
250,Station A,Station H,FastTrack,conn_250,06:20 PM,10:02 PM,4,
251,Station F,Station B,CityLink,conn_251,06:12 AM,08:13 AM,32,
252,Station D,Station B,CityLink,conn_252,02:45 AM,08:58 AM,4,
253,Station D,Station C,FastTrack,conn_253,08:39 PM,12:34 AM,4,
254,Station J,Station G,ExpressLine,conn_254,11:15 PM,03:43 AM,32,
255,Station E,Station H,FastTrack,conn_255,02:19 AM,04:41 AM,16,
256,Station E,Station H,CityLink,conn_256,08:09 AM,10:44 AM,4,
257,Station E,Station G,TrainCo,conn_257,10:28 AM,02:05 PM,16,
258,Station F,Station G,TrainCo,conn_258,01:32 AM,04:12 AM,16,
259,Station I,Station H,TrainCo,conn_259,01:13 AM,05:29 AM,2,
260,Station G,Station B,CityLink,conn_260,08:04 PM,12:48 AM,8,
261,Station H,Station B,CityLink,conn_261,07:37 PM,12:15 AM,1,
262,Station E,Station F,FastTrack,conn_262,09:32 AM,02:01 PM,2,
263,Station G,Station D,TrainCo,conn_263,06:26 PM,12:09 AM,2,
264,Station J,Station A,SuperRail,conn_264,04:45 AM,07:59 AM,1,
265,Station I,Station C,CityLink,conn_265,07:52 AM,09:54 AM,64,
266,Station F,Station J,CityLink,conn_266,05:41 AM,07:48 AM,64,
267,Station H,Station A,ExpressLine,conn_267,07:40 AM,09:40 AM,32,
268,Station H,Station J,FastTrack,conn_268,06:28 AM,09:46 AM,8,
269,Station C,Station B,CityLink,conn_269,10:04 AM,01:17 PM,16,
270,Station C,Station D,TrainCo,conn_270,11:19 PM,03:10 AM,2,
271,Station F,Station B,CityLink,conn_271,06:05 AM,08:40 AM,16,
272,Station I,Station H,ExpressLine,conn_272,12:53 AM,06:15 AM,2,
273,Station D,Station C,CityLink,conn_273,11:07 AM,02:53 PM,32,
274,Station A,Station F,ExpressLine,conn_274,02:24 AM,07:25 AM,4,
275,Station E,Station A,CityLink,conn_275,07:45 AM,01:00 PM,8,
276,Station B,Station D,SuperRail,conn_276,12:02 PM,06:28 PM,4,
277,Station I,Station D,SuperRail,conn_277,12:54 PM,04:33 PM,32,
278,Station D,Station A,TrainCo,conn_278,04:28 AM,07:43 AM,4,
279,Station E,Station H,FastTrack,conn_279,02:57 PM,06:37 PM,16,
280,Station J,Station G,TrainCo,conn_280,11:50 AM,04:12 PM,32,
281,Station D,Station C,CityLink,conn_281,04:38 PM,08:21 PM,32,
282,Station E,Station G,SuperRail,conn_282,06:04 AM,12:22 PM,4,
283,Station J,Station E,CityLink,conn_283,07:17 PM,12:06 AM,64,
284,Station G,Station C,CityLink,conn_284,01:03 AM,03:23 AM,32,
285,Station D,Station G,CityLink,conn_285,04:54 AM,07:57 AM,2,
286,Station C,Station I,FastTrack,conn_286,01:41 AM,08:36 AM,2,
287,Station A,Station B,FastTrack,conn_287,10:04 AM,04:13 PM,8,
288,Station D,Station A,ExpressLine,conn_288,05:08 AM,08:32 AM,2,
289,Station C,Station F,CityLink,conn_289,02:59 PM,08:11 PM,64,
290,Station G,Station F,SuperRail,conn_290,10:13 PM,02:28 AM,64,
291,Station A,Station J,SuperRail,conn_291,11:02 PM,03:15 AM,32,
292,Station H,Station F,CityLink,conn_292,01:54 PM,06:10 PM,64,
293,Station I,Station G,ExpressLine,conn_293,12:25 PM,06:40 PM,2,
294,Station I,Station C,CityLink,conn_294,05:10 PM,10:50 PM,32,
295,Station J,Station B,CityLink,conn_295,06:56 AM,09:38 AM,16,
296,Station B,Station D,FastTrack,conn_296,09:25 AM,12:14 PM,2,
297,Station I,Station D,SuperRail,conn_297,12:02 PM,03:59 PM,1,
298,Station A,Station B,TrainCo,conn_298,08:20 PM,02:01 AM,1,
299,Station D,Station I,FastTrack,conn_299,10:18 AM,01:50 PM,1,
300,Station H,Station D,CityLink,conn_300,03:49 PM,09:32 PM,4,
301,Station D,Station J,ExpressLine,conn_301,12:13 AM,02:33 AM,8,
302,Station G,Station D,FastTrack,conn_302,08:36 PM,10:51 PM,8,
303,Station H,Station F,FastTrack,conn_303,06:59 PM,11:40 PM,4,
304,Station G,Station E,CityLink,conn_304,01:11 AM,05:33 AM,2,
305,Station F,Station I,TrainCo,conn_305,10:49 PM,02:02 AM,4,
306,Station G,Station D,FastTrack,conn_306,08:24 AM,10:27 AM,32,
307,Station J,Station G,ExpressLine,conn_307,07:30 AM,11:03 AM,32,
308,Station A,Station J,ExpressLine,conn_308,04:11 AM,10:35 AM,16,
309,Station E,Station C,ExpressLine,conn_309,11:20 AM,04:13 PM,4,
310,Station F,Station G,FastTrack,conn_310,11:47 AM,04:00 PM,2,
311,Station F,Station G,TrainCo,conn_311,07:57 AM,01:39 PM,8,
312,Station I,Station B,TrainCo,conn_312,05:47 AM,12:11 PM,8,
313,Station I,Station E,ExpressLine,conn_313,05:10 PM,07:42 PM,8,
314,Station I,Station H,CityLink,conn_314,07:21 AM,01:14 PM,16,
315,Station B,Station H,FastTrack,conn_315,07:26 PM,12:06 AM,16,
316,Station J,Station A,SuperRail,conn_316,10:10 PM,02:26 AM,1,
317,Station D,Station F,TrainCo,conn_317,01:43 AM,04:25 AM,8,
318,Station A,Station I,CityLink,conn_318,02:13 PM,05:52 PM,4,
319,Station G,Station D,SuperRail,conn_319,05:02 AM,09:17 AM,2,
320,Station E,Station G,FastTrack,conn_320,12:02 PM,06:59 PM,8,
321,Station C,Station F,TrainCo,conn_321,06:14 PM,09:43 PM,8,
322,Station B,Station E,FastTrack,conn_322,07:51 AM,02:36 PM,16,
323,Station B,Station J,CityLink,conn_323,04:38 PM,11:16 PM,4,
324,Station H,Station A,SuperRail,conn_324,03:46 PM,06:28 PM,32,
325,Station H,Station C,CityLink,conn_325,11:14 PM,04:27 AM,1,
326,Station A,Station F,SuperRail,conn_326,12:29 PM,06:12 PM,1,
327,Station J,Station G,CityLink,conn_327,12:39 AM,05:04 AM,16,
328,Station G,Station B,SuperRail,conn_328,08:00 PM,12:19 AM,8,
329,Station E,Station J,SuperRail,conn_329,07:09 AM,09:35 AM,8,
330,Station I,Station H,TrainCo,conn_330,01:34 PM,03:45 PM,64,
331,Station E,Station H,SuperRail,conn_331,12:08 AM,02:11 AM,32,
332,Station G,Station A,TrainCo,conn_332,06:21 AM,09:39 AM,16,
333,Station J,Station D,FastTrack,conn_333,06:42 AM,11:38 AM,16,
334,Station J,Station D,TrainCo,conn_334,02:05 PM,06:53 PM,32,
335,Station C,Station B,TrainCo,conn_335,08:46 AM,02:04 PM,16,
336,Station F,Station B,ExpressLine,conn_336,10:01 PM,02:04 AM,8,
337,Station A,Station B,SuperRail,conn_337,02:34 AM,09:11 AM,4,
338,Station A,Station D,FastTrack,conn_338,06:03 AM,11:25 AM,4,
339,Station I,Station J,TrainCo,conn_339,09:54 PM,12:25 AM,4,
340,Station A,Station I,SuperRail,conn_340,06:26 AM,10:13 AM,16,
341,Station E,Station I,ExpressLine,conn_341,08:50 AM,01:37 PM,4,
342,Station I,Station D,TrainCo,conn_342,02:32 PM,07:03 PM,32,
343,Station G,Station A,ExpressLine,conn_343,06:00 AM,10:15 AM,8,
344,Station D,Station H,CityLink,conn_344,06:38 PM,12:54 AM,64,
345,Station C,Station D,CityLink,conn_345,07:23 PM,02:07 AM,2,
346,Station A,Station F,FastTrack,conn_346,03:27 AM,06:35 AM,4,
347,Station I,Station J,CityLink,conn_347,07:17 PM,02:07 AM,32,
348,Station H,Station I,TrainCo,conn_348,03:30 AM,07:29 AM,1,
349,Station C,Station A,CityLink,conn_349,10:22 AM,05:15 PM,2,
350,Station G,Station A,FastTrack,conn_350,01:59 AM,04:26 AM,8,
351,Station J,Station H,TrainCo,conn_351,09:04 AM,11:11 AM,16,
352,Station J,Station G,TrainCo,conn_352,01:07 AM,04:05 AM,8,
353,Station B,Station A,SuperRail,conn_353,10:21 AM,03:49 PM,8,
354,Station E,Station B,TrainCo,conn_354,03:38 PM,07:39 PM,8,
355,Station A,Station G,ExpressLine,conn_355,10:32 PM,04:31 AM,1,
356,Station F,Station D,SuperRail,conn_356,11:46 AM,04:45 PM,16,
357,Station C,Station B,SuperRail,conn_357,01:21 AM,05:13 AM,64,
358,Station F,Station E,FastTrack,conn_358,08:18 PM,01:10 AM,64,
359,Station A,Station E,TrainCo,conn_359,03:12 PM,06:10 PM,8,
360,Station J,Station F,ExpressLine,conn_360,01:41 PM,04:26 PM,1,
361,Station H,Station I,ExpressLine,conn_361,01:36 AM,06:35 AM,2,
362,Station D,Station B,ExpressLine,conn_362,10:05 PM,04:12 AM,2,
363,Station G,Station J,SuperRail,conn_363,08:27 AM,11:22 AM,1,
364,Station G,Station B,ExpressLine,conn_364,02:21 AM,09:05 AM,2,
365,Station C,Station F,SuperRail,conn_365,08:32 PM,02:02 AM,64,
